ForeFlight Logbook Import,,,,,,,,,,,,,

Aircraft Table,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,TAA
132,,F132,,,F132,,,,,FALSE,FALSE,FALSE,
CAE-AMS,,F100,,Fokker,F100,,,,,FALSE,FALSE,FALSE,
CZ-06A,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
CZ-06B,,A320,,Airbus,A320,,,,,TRUE,TRUE,FALSE,
CZ-08B,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
EI-SIA,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
EI-SIB,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
EI-SIC,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
EI-SID,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
EI-SIE,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
EI-SIF,,A20N,,,A20N,,,,,FALSE,FALSE,FALSE,
EI-SIG,,A20N,,,A20N,,,,,FALSE,FALSE,FALSE,
EI-SIH,,A20N,,,A20N,,,,,FALSE,FALSE,FALSE,
EI-SII,,A20N,,,A20N,,,,,FALSE,FALSE,FALSE,
EIA-023,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
EIA-B,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
EU-A0046,,A320,,Airbus,A320,,,,,TRUE,TRUE,FALSE,
EU-AT1A1O91,,A320,,Airbus,A320,,,,,TRUE,TRUE,FALSE,
EU-UKTK534,,A320,,AIRBUS,A320,,,,,FALSE,FALSE,FALSE,
FI-014AZ,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
HA-JUT,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
HA-LPA,,A320,,Airbus,A320,,,,,TRUE,TRUE,FALSE,
HA-LPB,,A320,,Airbus,A320,,,,,TRUE,TRUE,FALSE,
